Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0.042,0.497248,0.505281,0.720783,0.729014,0.739124,0.747371,0.560907,0.826201,0.846574,0.712406,0.688326,0.482334,0.612435,0.66558,0.52369
0.043,0.488246,0.496596,0.71512,0.723687,0.73421,0.742792,0.552715,0.822279,0.843503,0.706549,0.68127,0.471537,0.602353,0.657758,0.514378
0.044,0.47932,0.487992,0.709474,0.71838,0.729321,0.738245,0.544577,0.818354,0.840442,0.700728,0.674144,0.460655,0.592234,0.649546,0.505188
0.045,0.47047,0.479467,0.703842,0.713093,0.724458,0.733728,0.536491,0.814424,0.83739,0.694214,0.667241,0.449837,0.582072,0.641643,0.49609
0.046,0.461693,0.471019,0.698225,0.707825,0.71962,0.729242,0.528457,0.810489,0.834346,0.688154,0.66032,0.439095,0.571818,0.633415,0.486883
0.047,0.452989,0.462647,0.692621,0.702576,0.714806,0.724784,0.520473,0.806549,0.83131,0.682221,0.653119,0.428264,0.5615,0.625451,0.477696
0.048,0.444354,0.45435,0.687031,0.697345,0.710016,0.720354,0.512539,0.802604,0.828282,0.676354,0.646164,0.41758,0.551143,0.617183,0.468631
0.049,0.435789,0.446125,0.681454,0.692131,0.705248,0.715952,0.504654,0.798654,0.825261,0.670534,0.639251,0.406805,0.540746,0.609151,0.459659
0.05,0.427282,0.437972,0.675889,0.686934,0.700503,0.711577,0.496816,0.794697,0.822247,0.664479,0.632048,0.396127,0.530307,0.600851,0.450648
0.051,0.418787,0.429889,0.670337,0.681754,0.69578,0.707228,0.489025,0.790735,0.819239,0.658308,0.625067,0.385448,0.519825,0.592703,0.441608
0.052,0.41036,0.421825,0.664796,0.67659,0.691077,0.702904,0.48128,0.786767,0.816238,0.652354,0.618094,0.374785,0.509302,0.584423,0.432679
0.053,0.401997,0.413819,0.659266,0.671441,0.686395,0.698606,0.473581,0.782792,0.813243,0.646482,0.610923,0.364188,0.498736,0.576166,0.423838
0.054,0.393699,0.405881,0.653747,0.666307,0.681733,0.694332,0.465925,0.778811,0.810253,0.640664,0.603936,0.353549,0.488129,0.567905,0.414957
0.055,0.385463,0.398009,0.648239,0.661189,0.677091,0.690082,0.458313,0.774824,0.807269,0.634705,0.596878,0.343023,0.477481,0.559546,0.406073
0.056,0.37729,0.390202,0.642741,0.656084,0.672467,0.685855,0.450744,0.77083,0.80429,0.628606,0.58975,0.332416,0.466794,0.551297,0.397286
0.057,0.369178,0.38246,0.637253,0.650994,0.667862,0.68165,0.443217,0.766829,0.801315,0.622669,0.582768,0.321928,0.456069,0.542848,0.38858
0.058,0.361125,0.37478,0.631774,0.645917,0.663275,0.677468,0.435732,0.76282,0.798344,0.61681,0.575622,0.311385,0.445308,0.534473,0.379797
0.059,0.353132,0.367163,0.626305,0.640853,0.658706,0.673308,0.428288,0.758805,0.795378,0.611006,0.568535,0.300934,0.434511,0.526075,0.37107
0.06,0.345145,0.359606,0.620845,0.635803,0.654154,0.669169,0.420884,0.754783,0.792416,0.605002,0.561534,0.290457,0.423657,0.517591,0.362427
0.061,0.337213,0.352108,0.615393,0.630765,0.649619,0.66505,0.413519,0.750753,0.789457,0.599002,0.554336,0.28005,0.412762,0.509162,0.353823
0.062,0.329338,0.34462,0.60995,0.625739,0.6451,0.660952,0.406194,0.746715,0.786501,0.593108,0.547284,0.269637,0.401836,0.50065,0.345162
0.063,0.321519,0.33719,0.604516,0.620725,0.640597,0.656874,0.398907,0.74267,0.783549,0.587279,0.540155,0.259277,0.390881,0.492109,0.336588
0.064,0.313756,0.329819,0.599089,0.615723,0.636109,0.652815,0.391657,0.738618,0.780599,0.581449,0.533024,0.248926,0.379898,0.483603,0.328089
0.065,0.306047,0.322505,0.593671,0.610732,0.631637,0.648775,0.384446,0.734557,0.777652,0.575414,0.525979,0.238619,0.368889,0.47501,0.319545
0.066,0.298393,0.315248,0.58826,0.605753,0.62718,0.644754,0.377271,0.730489,0.774707,0.569497,0.518772,0.228329,0.357856,0.466395,0.311046
0.067,0.290791,0.308047,0.582856,0.600784,0.622737,0.64075,0.370133,0.726412,0.771764,0.563652,0.511692,0.218079,0.346785,0.457802,0.302621
